topic_family,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,authors_distinct_count,authors_body_removed_count,authors_body_deleted_count,authors_author_deleted_count,authors_automod_count,authors_bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct,body_removed_rate_by_authors_pct,body_deleted_rate_by_authors_pct,author_deleted_rate_by_authors_pct,automod_author_rate_by_authors_pct,bot_name_heuristic_rate_by_authors_pct
economics_news,2022-11-01,8752,966,383,1391,58,44,94,3024,1,1,1,1,16,2022-11-01,-29,11.03747714808044,4.376142595978062,15.893510054844606,0.6627056672760512,0.5027422303473492,1.0740402193784278,0.03306878306878307,0.03306878306878307,0.03306878306878307,0.03306878306878307,0.5291005291005291
economics_news,2022-11-02,9511,1237,457,1798,73,72,137,3019,1,1,1,1,16,2022-11-02,-28,13.005993060666595,4.804962674797602,18.904426453580065,0.767532330985175,0.7570181894648302,1.4404373882872463,0.033123550844650546,0.033123550844650546,0.033123550844650546,0.033123550844650546,0.5299768135144087
economics_news,2022-11-03,6523,395,353,820,61,31,55,2651,1,1,1,1,14,2022-11-03,-27,6.0554959374520925,5.411620420052123,12.570902958761307,0.935152537176146,0.47524145331902495,0.8431703204047217,0.03772161448509996,0.03772161448509996,0.03772161448509996,0.03772161448509996,0.5281026027913994
economics_news,2022-11-04,6881,480,329,904,65,37,67,2793,1,2,1,1,18,2022-11-04,-26,6.975730271762826,4.781281790437437,13.13762534515332,0.9446301409678827,0.5377125417817178,0.9736956837668943,0.03580379520229145,0.0716075904045829,0.03580379520229145,0.03580379520229145,0.644468313641246
economics_news,2022-11-05,7118,1008,295,1377,60,87,56,2763,1,1,1,1,15,2022-11-05,-25,14.161281258780555,4.144422590615341,19.345321719584152,0.8429334082607475,1.2222534419780837,0.7867378477100309,0.036192544335866814,0.036192544335866814,0.036192544335866814,0.036192544335866814,0.5428881650380022
economics_news,2022-11-06,5542,640,302,1055,59,69,56,2069,1,1,1,1,16,2022-11-06,-24,11.54817755322988,5.44929628293035,19.03644893540238,1.0645976181883796,1.2450378924575967,1.0104655359076147,0.04833252779120348,0.04833252779120348,0.04833252779120348,0.04833252779120348,0.7733204446592556
economics_news,2022-11-07,8546,707,375,1123,75,82,72,3082,1,1,1,1,17,2022-11-07,-23,8.272876199391527,4.388017786098759,13.14065059677042,0.877603557219752,0.9595132225602621,0.8424994149309618,0.03244646333549643,0.03244646333549643,0.03244646333549643,0.03244646333549643,0.5515898767034394
economics_news,2022-11-08,9721,809,489,1352,109,90,55,3488,1,1,1,1,17,2022-11-08,-22,8.322189075198025,5.030346672153071,13.908034152864932,1.1212838185371876,0.9258306758563933,0.5657854130233515,0.028669724770642203,0.028669724770642203,0.028669724770642203,0.028669724770642203,0.4873853211009175
economics_news,2022-11-09,13195,1744,585,2440,138,94,94,4107,1,1,1,1,18,2022-11-09,-21,13.217127699886323,4.433497536945813,18.491852974611593,1.0458507010231148,0.7123910572186434,0.7123910572186434,0.024348672997321647,0.024348672997321647,0.024348672997321647,0.024348672997321647,0.4382761139517896
economics_news,2022-11-10,7853,649,317,1006,102,80,59,3344,1,1,1,1,10,2022-11-10,-20,8.264357570355278,4.036673882592639,12.810390933401248,1.2988666751559912,1.0187189609066598,0.7513052336686616,0.029904306220095694,0.029904306220095694,0.029904306220095694,0.029904306220095694,0.29904306220095694
economics_news,2022-11-11,9552,816,486,1359,80,102,66,4217,1,1,1,1,27,2022-11-11,-19,8.542713567839195,5.0879396984924625,14.227386934673367,0.8375209380234505,1.0678391959798994,0.6909547738693468,0.02371354043158644,0.02371354043158644,0.02371354043158644,0.02371354043158644,0.6402655916528338
economics_news,2022-11-12,7192,936,312,1309,79,69,35,3170,1,1,1,1,14,2022-11-12,-18,13.014460511679642,4.338153503893214,18.200778642936598,1.0984427141268076,0.9593993325917686,0.4866518353726363,0.03154574132492114,0.03154574132492114,0.03154574132492114,0.03154574132492114,0.4416403785488959
economics_news,2022-11-13,7082,553,287,876,73,52,39,3235,1,1,1,1,19,2022-11-13,-17,7.808528664219147,4.052527534594748,12.369387178763061,1.0307822648969218,0.7342558599265745,0.5506918949449308,0.030911901081916538,0.030911901081916538,0.030911901081916538,0.030911901081916538,0.5873261205564142
economics_news,2022-11-14,7451,665,337,1035,73,88,63,3392,1,1,1,1,16,2022-11-14,-16,8.924976513219702,4.522882834518857,13.890752919071266,0.9797342638572003,1.1810495235538854,0.8455240907260771,0.0294811320754717,0.0294811320754717,0.0294811320754717,0.0294811320754717,0.4716981132075472
economics_news,2022-11-15,6963,476,311,871,74,46,49,3026,1,1,1,1,14,2022-11-15,-15,6.836133850351859,4.466465603906363,12.508976016085022,1.0627603044664657,0.6606347838575327,0.7037196610656327,0.033046926635822864,0.033046926635822864,0.033046926635822864,0.033046926635822864,0.4626569729015202
economics_news,2022-11-16,8494,655,359,1053,81,74,48,3606,1,1,1,1,18,2022-11-16,-14,7.711325641629385,4.226512832587709,12.39698610784083,0.9536143159877561,0.871203202260419,0.5651047798445962,0.027731558513588467,0.027731558513588467,0.027731558513588467,0.027731558513588467,0.49916805324459235
