topic_group,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct
advertisement,2022-11-01,275,12,7,19,22,20,2,2022-11-01,-29,4.363636363636364,2.5454545454545454,6.909090909090909,8.0,7.2727272727272725,0.7272727272727273
advertisement,2022-11-02,312,5,8,15,17,14,3,2022-11-02,-28,1.6025641025641024,2.564102564102564,4.807692307692308,5.448717948717949,4.487179487179487,0.9615384615384616
advertisement,2022-11-03,234,15,4,20,20,16,0,2022-11-03,-27,6.41025641025641,1.7094017094017095,8.547008547008547,8.547008547008547,6.837606837606838,0.0
advertisement,2022-11-04,185,8,7,22,12,9,0,2022-11-04,-26,4.324324324324325,3.783783783783784,11.891891891891893,6.486486486486487,4.864864864864865,0.0
advertisement,2022-11-05,176,12,4,17,14,9,0,2022-11-05,-25,6.8181818181818175,2.272727272727273,9.659090909090908,7.954545454545454,5.113636363636364,0.0
advertisement,2022-11-06,148,3,3,6,16,14,1,2022-11-06,-24,2.027027027027027,2.027027027027027,4.054054054054054,10.81081081081081,9.45945945945946,0.6756756756756757
advertisement,2022-11-07,181,9,3,12,18,18,0,2022-11-07,-23,4.972375690607735,1.6574585635359116,6.629834254143646,9.94475138121547,9.94475138121547,0.0
advertisement,2022-11-08,227,13,2,20,25,20,0,2022-11-08,-22,5.726872246696035,0.881057268722467,8.81057268722467,11.013215859030836,8.81057268722467,0.0
advertisement,2022-11-09,169,7,5,13,13,11,1,2022-11-09,-21,4.142011834319527,2.9585798816568047,7.6923076923076925,7.6923076923076925,6.508875739644971,0.591715976331361
advertisement,2022-11-10,204,5,6,12,24,16,0,2022-11-10,-20,2.450980392156863,2.941176470588235,5.88235294117647,11.76470588235294,7.8431372549019605,0.0
advertisement,2022-11-11,229,8,10,19,21,12,0,2022-11-11,-19,3.4934497816593884,4.366812227074235,8.296943231441048,9.170305676855897,5.240174672489083,0.0
advertisement,2022-11-12,196,2,9,13,16,10,0,2022-11-12,-18,1.0204081632653061,4.591836734693878,6.63265306122449,8.16326530612245,5.1020408163265305,0.0
advertisement,2022-11-13,144,11,8,19,13,8,1,2022-11-13,-17,7.638888888888889,5.555555555555555,13.194444444444445,9.027777777777777,5.555555555555555,0.6944444444444444
advertisement,2022-11-14,180,6,12,22,14,19,0,2022-11-14,-16,3.3333333333333335,6.666666666666667,12.222222222222221,7.777777777777778,10.555555555555555,0.0
advertisement,2022-11-15,206,13,7,20,17,16,1,2022-11-15,-15,6.310679611650485,3.3980582524271843,9.70873786407767,8.25242718446602,7.766990291262135,0.48543689320388345
advertisement,2022-11-16,285,9,2,11,35,27,0,2022-11-16,-14,3.1578947368421053,0.7017543859649122,3.8596491228070176,12.280701754385964,9.473684210526317,0.0
advertisement,2022-11-17,232,16,5,21,33,23,0,2022-11-17,-13,6.896551724137931,2.1551724137931036,9.051724137931034,14.224137931034484,9.913793103448276,0.0
advertisement,2022-11-18,252,10,6,18,13,11,1,2022-11-18,-12,3.968253968253968,2.380952380952381,7.142857142857142,5.158730158730158,4.365079365079365,0.3968253968253968
advertisement,2022-11-19,152,5,11,16,12,11,1,2022-11-19,-11,3.289473684210526,7.236842105263158,10.526315789473683,7.894736842105263,7.236842105263158,0.6578947368421052
advertisement,2022-11-20,185,16,8,26,24,20,0,2022-11-20,-10,8.64864864864865,4.324324324324325,14.054054054054054,12.972972972972974,10.81081081081081,0.0
advertisement,2022-11-21,162,10,7,17,21,17,0,2022-11-21,-9,6.172839506172839,4.320987654320987,10.493827160493826,12.962962962962962,10.493827160493826,0.0
advertisement,2022-11-22,176,11,4,16,16,12,0,2022-11-22,-8,6.25,2.272727272727273,9.090909090909092,9.090909090909092,6.8181818181818175,0.0
advertisement,2022-11-23,218,18,7,28,20,18,0,2022-11-23,-7,8.256880733944955,3.211009174311927,12.844036697247708,9.174311926605505,8.256880733944955,0.0
advertisement,2022-11-24,165,1,1,5,14,10,1,2022-11-24,-6,0.6060606060606061,0.6060606060606061,3.0303030303030303,8.484848484848486,6.0606060606060606,0.6060606060606061
advertisement,2022-11-25,148,13,6,21,20,12,0,2022-11-25,-5,8.783783783783784,4.054054054054054,14.18918918918919,13.513513513513514,8.108108108108109,0.0
advertisement,2022-11-26,196,14,5,20,17,13,1,2022-11-26,-4,7.142857142857142,2.5510204081632653,10.204081632653061,8.673469387755102,6.63265306122449,0.5102040816326531
advertisement,2022-11-27,202,5,13,18,15,11,1,2022-11-27,-3,2.4752475247524752,6.435643564356436,8.91089108910891,7.425742574257425,5.445544554455446,0.49504950495049505
advertisement,2022-11-28,181,8,4,12,26,25,0,2022-11-28,-2,4.41988950276243,2.209944751381215,6.629834254143646,14.3646408839779,13.812154696132598,0.0
advertisement,2022-11-29,267,8,8,16,21,18,0,2022-11-29,-1,2.9962546816479403,2.9962546816479403,5.992509363295881,7.865168539325842,6.741573033707865,0.0
advertisement,2022-11-30,225,8,3,11,16,10,1,2022-11-30,0,3.5555555555555554,1.3333333333333335,4.888888888888889,7.111111111111111,4.444444444444445,0.4444444444444444
advertisement,2022-12-01,232,9,4,13,17,17,0,2022-12-01,1,3.8793103448275863,1.7241379310344827,5.603448275862069,7.327586206896551,7.327586206896551,0.0
advertisement,2022-12-02,204,4,11,15,20,16,0,2022-12-02,2,1.9607843137254901,5.392156862745098,7.352941176470589,9.803921568627452,7.8431372549019605,0.0
advertisement,2022-12-03,177,6,7,13,16,14,0,2022-12-03,3,3.389830508474576,3.954802259887006,7.344632768361582,9.03954802259887,7.909604519774012,0.0
advertisement,2022-12-04,221,11,10,22,13,12,0,2022-12-04,4,4.97737556561086,4.524886877828054,9.95475113122172,5.88235294117647,5.429864253393665,0.0
advertisement,2022-12-05,176,5,5,14,21,16,0,2022-12-05,5,2.840909090909091,2.840909090909091,7.954545454545454,11.931818181818182,9.090909090909092,0.0
advertisement,2022-12-06,220,5,8,13,22,15,0,2022-12-06,6,2.272727272727273,3.6363636363636362,5.909090909090909,10.0,6.8181818181818175,0.0
advertisement,2022-12-07,295,18,13,33,19,20,1,2022-12-07,7,6.101694915254238,4.406779661016949,11.186440677966102,6.440677966101695,6.779661016949152,0.3389830508474576
advertisement,2022-12-08,411,8,26,35,30,27,9,2022-12-08,8,1.9464720194647203,6.326034063260341,8.51581508515815,7.2992700729927,6.569343065693431,2.18978102189781
advertisement,2022-12-09,310,2,13,18,26,23,2,2022-12-09,9,0.6451612903225806,4.193548387096775,5.806451612903226,8.38709677419355,7.419354838709677,0.6451612903225806
advertisement,2022-12-10,19,0,1,1,2,1,2,2022-12-10,10,0.0,5.263157894736842,5.263157894736842,10.526315789473683,5.263157894736842,10.526315789473683
advertisement,2023-01-01,1,0,0,0,0,0,0,2023-01-01,32,0.0,0.0,0.0,0.0,0.0,0.0
advertisement,2023-02-01,5,0,0,0,0,0,0,2023-02-01,63,0.0,0.0,0.0,0.0,0.0,0.0
ai,2022-11-01,577,2,18,24,0,0,5,2022-11-01,-29,0.34662045060658575,3.119584055459272,4.15944540727903,0.0,0.0,0.8665511265164645
ai,2022-11-02,361,1,16,29,0,0,5,2022-11-02,-28,0.2770083102493075,4.43213296398892,8.033240997229916,0.0,0.0,1.3850415512465373
ai,2022-11-03,441,5,23,34,0,0,3,2022-11-03,-27,1.1337868480725624,5.215419501133787,7.709750566893423,0.0,0.0,0.6802721088435374
ai,2022-11-04,291,3,21,29,0,0,2,2022-11-04,-26,1.0309278350515463,7.216494845360824,9.965635738831615,0.0,0.0,0.6872852233676976
ai,2022-11-05,301,2,15,20,0,0,2,2022-11-05,-25,0.6644518272425249,4.983388704318937,6.64451827242525,0.0,0.0,0.6644518272425249
ai,2022-11-06,508,6,38,55,0,0,6,2022-11-06,-24,1.1811023622047243,7.480314960629922,10.826771653543307,0.0,0.0,1.1811023622047243
ai,2022-11-07,294,0,8,20,0,0,3,2022-11-07,-23,0.0,2.7210884353741496,6.802721088435375,0.0,0.0,1.0204081632653061
ai,2022-11-08,218,0,12,16,0,0,4,2022-11-08,-22,0.0,5.5045871559633035,7.339449541284404,0.0,0.0,1.834862385321101
ai,2022-11-09,252,3,10,13,0,1,2,2022-11-09,-21,1.1904761904761905,3.968253968253968,5.158730158730158,0.0,0.3968253968253968,0.7936507936507936
ai,2022-11-10,288,0,7,10,0,0,4,2022-11-10,-20,0.0,2.430555555555556,3.4722222222222223,0.0,0.0,1.3888888888888888
ai,2022-11-11,365,5,17,25,0,0,3,2022-11-11,-19,1.36986301369863,4.657534246575342,6.8493150684931505,0.0,0.0,0.821917808219178
ai,2022-11-12,667,1,52,61,0,0,9,2022-11-12,-18,0.14992503748125938,7.796101949025487,9.145427286356822,0.0,0.0,1.3493253373313343
ai,2022-11-13,285,0,10,12,0,0,0,2022-11-13,-17,0.0,3.508771929824561,4.2105263157894735,0.0,0.0,0.0
ai,2022-11-14,290,3,20,24,0,0,4,2022-11-14,-16,1.0344827586206897,6.896551724137931,8.275862068965518,0.0,0.0,1.3793103448275863
ai,2022-11-15,370,2,29,34,0,0,12,2022-11-15,-15,0.5405405405405406,7.837837837837839,9.18918918918919,0.0,0.0,3.2432432432432434
ai,2022-11-16,323,6,21,29,0,0,10,2022-11-16,-14,1.8575851393188854,6.5015479876160995,8.978328173374612,0.0,0.0,3.0959752321981426
ai,2022-11-17,343,2,14,20,0,0,4,2022-11-17,-13,0.5830903790087464,4.081632653061225,5.830903790087463,0.0,0.0,1.1661807580174928
ai,2022-11-18,257,2,13,18,0,0,1,2022-11-18,-12,0.7782101167315175,5.058365758754864,7.003891050583658,0.0,0.0,0.38910505836575876
ai,2022-11-19,428,3,22,28,0,0,7,2022-11-19,-11,0.7009345794392523,5.14018691588785,6.5420560747663545,0.0,0.0,1.6355140186915886
ai,2022-11-20,516,3,39,44,0,0,12,2022-11-20,-10,0.5813953488372093,7.55813953488372,8.527131782945736,0.0,0.0,2.3255813953488373
ai,2022-11-21,438,3,17,29,0,0,9,2022-11-21,-9,0.684931506849315,3.881278538812785,6.621004566210045,0.0,0.0,2.054794520547945
ai,2022-11-22,419,2,20,25,0,0,3,2022-11-22,-8,0.47732696897374705,4.77326968973747,5.966587112171838,0.0,0.0,0.7159904534606205
ai,2022-11-23,383,2,34,37,0,0,3,2022-11-23,-7,0.5221932114882507,8.87728459530026,9.660574412532636,0.0,0.0,0.7832898172323759
ai,2022-11-24,330,3,22,27,0,0,5,2022-11-24,-6,0.9090909090909091,6.666666666666667,8.181818181818182,0.0,0.0,1.5151515151515151
ai,2022-11-25,369,1,16,18,0,0,7,2022-11-25,-5,0.27100271002710025,4.336043360433604,4.878048780487805,0.0,0.0,1.8970189701897018
ai,2022-11-26,178,2,11,16,0,0,1,2022-11-26,-4,1.1235955056179776,6.179775280898876,8.98876404494382,0.0,0.0,0.5617977528089888
ai,2022-11-27,729,51,28,88,0,0,12,2022-11-27,-3,6.995884773662551,3.840877914951989,12.071330589849108,0.0,0.0,1.646090534979424
ai,2022-11-28,548,15,27,49,0,0,17,2022-11-28,-2,2.737226277372263,4.927007299270073,8.94160583941606,0.0,0.0,3.102189781021898
ai,2022-11-29,308,3,10,14,0,0,9,2022-11-29,-1,0.974025974025974,3.2467532467532463,4.545454545454546,0.0,0.0,2.922077922077922
