date_utc,n_comments_total,share_short,share_medium,share_long,date,event_time_t
2022-11-01,43808,0.46607925493060626,0.31720233747260773,0.21671840759678598,2022-11-01,-29
2022-11-02,44624,0.4461500537827178,0.32424256005736823,0.22960738615991394,2022-11-02,-28
2022-11-03,42028,0.44515561054535074,0.32266584181973923,0.23217854763491005,2022-11-03,-27
2022-11-04,39399,0.45904718393867866,0.31797761364501637,0.22297520241630497,2022-11-04,-26
2022-11-05,29761,0.4532105776015591,0.31800006720204294,0.22878935519639798,2022-11-05,-25
2022-11-06,33602,0.45214570561276113,0.3161121361823701,0.23174215820486876,2022-11-06,-24
2022-11-07,45146,0.4716032428122093,0.31863287998936785,0.2097638771984229,2022-11-07,-23
2022-11-08,66161,0.5048895875213494,0.3139160532640075,0.18119435921464308,2022-11-08,-22
2022-11-09,176790,0.578482945867979,0.29867639572374005,0.12284065840828101,2022-11-09,-21
2022-11-10,88004,0.5199990909504113,0.31200854506613335,0.1679923639834553,2022-11-10,-20
2022-11-11,70374,0.495225509421093,0.3169494415551198,0.1878250490237872,2022-11-11,-19
2022-11-12,57560,0.5161049339819319,0.3089819318971508,0.1749131341209173,2022-11-12,-18
2022-11-13,64935,0.4956956956956957,0.3165781165781166,0.18772618772618774,2022-11-13,-17
2022-11-14,50462,0.46767864928064684,0.3224208315167849,0.20990051920256828,2022-11-14,-16
2022-11-15,53437,0.5043696315287161,0.30789527855231397,0.18773508991897,2022-11-15,-15
2022-11-16,61680,0.5080090791180285,0.3082360570687419,0.18375486381322959,2022-11-16,-14
2022-11-17,58310,0.4799691305093466,0.3142685645686846,0.20576230492196879,2022-11-17,-13
2022-11-18,45767,0.48205038564904845,0.3139816898638757,0.20396792448707585,2022-11-18,-12
2022-11-19,33341,0.46318346780240544,0.3182867940373714,0.21852973816022314,2022-11-19,-11
2022-11-20,34326,0.476431859232069,0.3144555147701451,0.20911262599778593,2022-11-20,-10
2022-11-21,37764,0.4553278254422201,0.3172598241711683,0.2274123503866116,2022-11-21,-9
2022-11-22,34797,0.4531999885047562,0.3208897318734374,0.2259102796218065,2022-11-22,-8
2022-11-23,37161,0.4795888162320713,0.30830709614918866,0.21210408761874008,2022-11-23,-7
2022-11-24,28351,0.49592606962717367,0.2988959825050263,0.20517794786780008,2022-11-24,-6
2022-11-25,36175,0.4676986869384934,0.3133102971665515,0.2189910158949551,2022-11-25,-5
2022-11-26,28240,0.48279036827195465,0.3089589235127479,0.20825070821529745,2022-11-26,-4
2022-11-27,26029,0.4868415997541204,0.3020477160090668,0.21111068423681278,2022-11-27,-3
2022-11-28,28799,0.45171707350949686,0.3216778360359735,0.22660509045452967,2022-11-28,-2
2022-11-29,35051,0.4495164189324128,0.3200194003024165,0.23046418076517075,2022-11-29,-1
2022-11-30,40274,0.4606694145106024,0.31407359586830214,0.2252569896210955,2022-11-30,0
2022-12-01,37136,0.45993106419646707,0.3168892718655752,0.22317966393795777,2022-12-01,1
2022-12-02,35497,0.43200833873285066,0.3291264050483139,0.2388652562188354,2022-12-02,2
2022-12-03,29161,0.4602722814718288,0.31353520112478994,0.22619251740338123,2022-12-03,3
2022-12-04,33238,0.4666044888380769,0.31849088392803415,0.21490462723388892,2022-12-04,4
2022-12-05,43558,0.44572753569952706,0.32035446990219935,0.23391799439827357,2022-12-05,5
2022-12-06,40113,0.46369007553660907,0.3095505197816169,0.226759404681774,2022-12-06,6
2022-12-07,47453,0.5192506269361262,0.2994752702674225,0.18127410279645123,2022-12-07,7
2022-12-08,40822,0.44708735485767476,0.3196560678065749,0.23325657733575034,2022-12-08,8
2022-12-09,43346,0.4558667466432889,0.31573847644534675,0.22839477691136437,2022-12-09,9
2022-12-10,30085,0.4666445072295164,0.3129134119993352,0.2204420807711484,2022-12-10,10
2022-12-11,27560,0.47514513788098695,0.30373730043541364,0.22111756168359942,2022-12-11,11
2022-12-12,31692,0.43414741890697967,0.32115360343304306,0.24469897765997728,2022-12-12,12
2022-12-13,33109,0.46594581533721946,0.30819414660666283,0.22586003805611768,2022-12-13,13
2022-12-14,32384,0.46671195652173914,0.30616971343873517,0.2271183300395257,2022-12-14,14
2022-12-15,38899,0.46566749787912287,0.3111905190364791,0.22314198308439806,2022-12-15,15
2022-12-16,39085,0.47286682870666497,0.3156709735192529,0.21146219777408212,2022-12-16,16
2022-12-17,26918,0.4726577011665057,0.30867820789063083,0.21866409094286351,2022-12-17,17
2022-12-18,26671,0.47804731731093697,0.3110494544636497,0.21090322822541338,2022-12-18,18
2022-12-19,33253,0.49273749736865846,0.30024358704477794,0.20701891558656363,2022-12-19,19
2022-12-20,33857,0.4860442449124258,0.30094219806834627,0.21301355701922792,2022-12-20,20
2022-12-21,37367,0.47836326170150134,0.30778494393448763,0.21385179436401103,2022-12-21,21
2022-12-22,36996,0.4776462320250838,0.30962806789923236,0.21272570007568387,2022-12-22,22
2022-12-23,33321,0.4699738903394256,0.3035022958494643,0.22652381381111011,2022-12-23,23
2022-12-24,27103,0.46293768217540493,0.3124746338043759,0.22458768402021917,2022-12-24,24
2022-12-25,26379,0.4786383107775124,0.31032260510254367,0.2110390841199439,2022-12-25,25
2022-12-26,25585,0.45554035567715456,0.31342583545045927,0.23103380887238617,2022-12-26,26
2022-12-27,32466,0.49306967288856035,0.3066284728639192,0.20030185424752048,2022-12-27,27
2022-12-28,32644,0.4668851856390148,0.30945962504595026,0.22365518931503492,2022-12-28,28
2022-12-29,30851,0.449450585070176,0.3137985802729247,0.23675083465689928,2022-12-29,29
2022-12-30,34403,0.48196378222829406,0.30383978141441154,0.21419643635729443,2022-12-30,30
2022-12-31,27708,0.48318175256243684,0.30182618738270534,0.2149920600548578,2022-12-31,31
2023-01-01,28459,0.4819213605537791,0.30577321761130044,0.2123054218349204,2023-01-01,32
2023-01-02,31446,0.4412007886535648,0.31256757616231,0.24623163518412516,2023-01-02,33
2023-01-03,54523,0.5397355244575683,0.2946462960585441,0.16561817948388755,2023-01-03,34
2023-01-04,73334,0.5615948945918674,0.2924837046935937,0.14592140071453896,2023-01-04,35
2023-01-05,94833,0.5894572564402687,0.2799131104151508,0.13062963314458048,2023-01-05,36
2023-01-06,79471,0.5771916799838935,0.2789319374362975,0.14387638257980898,2023-01-06,37
2023-01-07,61032,0.6270808756062394,0.2490824485515795,0.12383667584218115,2023-01-07,38
2023-01-08,31537,0.46519960681104733,0.3136633161048927,0.22113707708406,2023-01-08,39
2023-01-09,36393,0.48080674855054545,0.3113236061880032,0.20786964526145138,2023-01-09,40
2023-01-10,36238,0.4566753132071306,0.32074065897676474,0.22258402781610465,2023-01-10,41
2023-01-11,36673,0.44975867804651926,0.32004471954844166,0.23019660240503914,2023-01-11,42
2023-01-12,42282,0.4443971429922899,0.3221228891726976,0.23347996783501254,2023-01-12,43
2023-01-13,37293,0.4562786581932266,0.3108894430590191,0.23283189874775426,2023-01-13,44
2023-01-14,32493,0.47511771766226574,0.30945126642661497,0.21543101591111932,2023-01-14,45
2023-01-15,27927,0.4582661940058008,0.3141046299280266,0.22762917606617253,2023-01-15,46
2023-01-16,28350,0.4635978835978836,0.31135802469135804,0.22504409171075837,2023-01-16,47
2023-01-17,33867,0.4649068414680958,0.30389464670623323,0.231198511825671,2023-01-17,48
2023-01-18,34524,0.4890800602479435,0.30167419765959913,0.20924574209245742,2023-01-18,49
2023-01-19,38050,0.4768462549277267,0.3079106438896189,0.2152431011826544,2023-01-19,50
2023-01-20,36579,0.4676453702944312,0.31414199404029636,0.21821263566527244,2023-01-20,51
2023-01-21,26214,0.48424505989166094,0.3020904859998474,0.21366445410849164,2023-01-21,52
2023-01-22,31485,0.4694616484040019,0.3125932983960616,0.21794505319993648,2023-01-22,53
2023-01-23,31486,0.43393889347646575,0.3194435622181287,0.24661754430540558,2023-01-23,54
2023-01-24,41248,0.4240932893716059,0.32180954228083786,0.25409716834755625,2023-01-24,55
2023-01-25,36624,0.44590978593272174,0.31342835299257316,0.2406618610747051,2023-01-25,56
2023-01-26,37683,0.4523259825385452,0.3112278746384311,0.23644614282302365,2023-01-26,57
2023-01-27,38104,0.44173840016796134,0.31421897963468404,0.24404262019735462,2023-01-27,58
2023-01-28,33076,0.45147539001088405,0.31315757649050674,0.23536703349860927,2023-01-28,59
2023-01-29,31635,0.4427374743164217,0.32094199462620515,0.23632053105737316,2023-01-29,60
2023-01-30,35286,0.4334296888284305,0.3135237771354078,0.2530465340361617,2023-01-30,61
2023-01-31,35916,0.45715001670564653,0.3128689163603965,0.229981066933957,2023-01-31,62
2023-02-01,37325,0.44980576021433355,0.3112926992632284,0.23890154052243803,2023-02-01,63
2023-02-02,34212,0.4393487665146732,0.3134864959663276,0.24716473751899917,2023-02-02,64
2023-02-03,39507,0.4548814134204065,0.3097678892348191,0.23535069734477435,2023-02-03,65
2023-02-04,34000,0.4572352941176471,0.3154705882352941,0.2272941176470588,2023-02-04,66
2023-02-05,34867,0.4633034101012419,0.31123985430349616,0.225456735595262,2023-02-05,67
2023-02-06,36622,0.4529517776200098,0.3119436404347114,0.2351045819452788,2023-02-06,68
2023-02-07,41271,0.4361900608175232,0.32242979331734145,0.24138014586513531,2023-02-07,69
2023-02-08,56090,0.5347120698876805,0.2838295596362988,0.18145837047602068,2023-02-08,70
2023-02-09,36259,0.4536528861799829,0.31680410380870955,0.22954301001130753,2023-02-09,71
2023-02-10,39190,0.4552181678999745,0.3085225822914009,0.23625924980862464,2023-02-10,72
2023-02-11,32739,0.47121170469470663,0.3124713644277467,0.21631693087754666,2023-02-11,73
2023-02-12,30391,0.47885887269257343,0.31163831397453196,0.2095028133328946,2023-02-12,74
2023-02-13,35298,0.45781630687291064,0.31064082950875405,0.23154286361833532,2023-02-13,75
2023-02-14,40127,0.442769207765345,0.31876292770453807,0.23846786453011687,2023-02-14,76
2023-02-15,37781,0.4489293560255155,0.31582012122495434,0.23525052274953018,2023-02-15,77
2023-02-16,34903,0.4491304472394923,0.3133828037704495,0.23748674899005817,2023-02-16,78
2023-02-17,35346,0.4468398121428167,0.31848016748712726,0.23468002037005603,2023-02-17,79
2023-02-18,28896,0.4630398671096346,0.316202934662237,0.22075719822812845,2023-02-18,80
2023-02-19,24903,0.4374974902622174,0.318756776292013,0.24374573344576958,2023-02-19,81
2023-02-20,31173,0.43903377923202774,0.3211753761267764,0.2397908446411959,2023-02-20,82
2023-02-21,35101,0.4516110652118173,0.31480584598729383,0.23358308880088888,2023-02-21,83
2023-02-22,39411,0.4391667301007333,0.3163583771028393,0.2444748927964274,2023-02-22,84
2023-02-23,34948,0.4447178665445805,0.3137518599061463,0.2415302735492732,2023-02-23,85
2023-02-24,40229,0.47010862810410403,0.3143503442790027,0.21554102761689328,2023-02-24,86
2023-02-25,33105,0.46702914967527565,0.3115239389820269,0.22144691134269748,2023-02-25,87
2023-02-26,28340,0.436803105151729,0.3174664784756528,0.24573041637261822,2023-02-26,88
2023-02-27,35648,0.4115798922800718,0.3236927737881508,0.2647273339317774,2023-02-27,89
2023-02-28,38202,0.4353698759227266,0.32592534422281555,0.23870477985445787,2023-02-28,90
2023-03-01,36511,0.4328832406671962,0.31790419325682673,0.2492125660759771,2023-03-01,91
2023-03-02,32397,0.4439608605735099,0.32012223354014263,0.2359169058863475,2023-03-02,92
2023-03-03,31943,0.469273393231694,0.3114923457408509,0.21923426102745516,2023-03-03,93
2023-03-04,29593,0.46930017233805293,0.3133511303348765,0.2173486973270706,2023-03-04,94
2023-03-05,30762,0.45748000780183345,0.31428385670632597,0.22823613549184057,2023-03-05,95
2023-03-06,33214,0.44893719515866803,0.31266935629553805,0.23839344854579395,2023-03-06,96
2023-03-07,41099,0.44251684955838344,0.3182559186354899,0.23922723180612668,2023-03-07,97
2023-03-08,39040,0.4298155737704918,0.3198770491803279,0.2503073770491803,2023-03-08,98
2023-03-09,43311,0.46242294105423565,0.3118145505760661,0.22576250836969822,2023-03-09,99
2023-03-10,36015,0.4724975704567541,0.3095376926280716,0.21796473691517423,2023-03-10,100
2023-03-11,27399,0.44669513485893647,0.3174933391729625,0.23581152596810104,2023-03-11,101
2023-03-12,29232,0.46555145046524354,0.31284209085933223,0.2216064586754242,2023-03-12,102
2023-03-13,32324,0.4255970795693602,0.3191746071030813,0.25522831332755846,2023-03-13,103
2023-03-14,26021,0.4406825256523577,0.31320856231505323,0.24610891203258906,2023-03-14,104
2023-03-15,32627,0.4400649768596561,0.3159959542710025,0.24393906886934133,2023-03-15,105
2023-03-16,33621,0.4410933642663811,0.31090687368014036,0.24799976205347848,2023-03-16,106
2023-03-17,30641,0.458862308671388,0.31275088933128814,0.22838680199732384,2023-03-17,107
2023-03-18,36287,0.4938132113429052,0.3120401245625155,0.1941466640945793,2023-03-18,108
2023-03-19,31077,0.47099140843710785,0.3171799079705248,0.21182868359236734,2023-03-19,109
2023-03-20,36241,0.4438619243398361,0.3185342567809939,0.23760381887917,2023-03-20,110
2023-03-21,41365,0.47750513719327936,0.3066602199927475,0.21583464281397316,2023-03-21,111
2023-03-22,39049,0.4739686035493867,0.3147583804962995,0.2112730159543138,2023-03-22,112
2023-03-23,36290,0.4792780380270047,0.3087627445577294,0.2119592174152659,2023-03-23,113
2023-03-24,37570,0.4585041256321533,0.3107532605802502,0.23074261378759647,2023-03-24,114
2023-03-25,29695,0.48499747432227647,0.30277824549587473,0.2122242801818488,2023-03-25,115
2023-03-26,29362,0.48688781418159527,0.29926435528914924,0.2138478305292555,2023-03-26,116
2023-03-27,32830,0.44529393847091076,0.31516905269570517,0.2395370088333841,2023-03-27,117
2023-03-28,41389,0.4388364058083066,0.3225977916837807,0.23856580250791273,2023-03-28,118
2023-03-29,43466,0.449891869507201,0.32195279068697374,0.22815533980582525,2023-03-29,119
2023-03-30,55907,0.5020659309209938,0.3019478777255084,0.19598619135349776,2023-03-30,120
2023-03-31,51609,0.5177004010928327,0.3025635063651689,0.1797360925419985,2023-03-31,121
2023-04-01,33123,0.5154726323098753,0.2958971107689521,0.1886302569211726,2023-04-01,122
2023-04-02,34145,0.47219212183335774,0.30619417191389664,0.22161370625274565,2023-04-02,123
2023-04-03,41090,0.4764419566804575,0.3153808712582137,0.2081771720613288,2023-04-03,124
2023-04-04,58447,0.5271271408284428,0.2990743750748541,0.17379848409670298,2023-04-04,125
2023-04-05,48500,0.4911958762886598,0.31127835051546393,0.19752577319587628,2023-04-05,126
2023-04-06,45246,0.4834902532820581,0.311563453122928,0.20494629359501393,2023-04-06,127
2023-04-07,45063,0.46255242660275614,0.32112819830015754,0.2163193750970863,2023-04-07,128
2023-04-08,31747,0.4809903297949413,0.31089551768671053,0.2081141525183482,2023-04-08,129
