file,rows_total,rows_kept,rows_removed,missing_id_rows,invalid_json_rows
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-08.ndjson,91,91,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-09.ndjson,142,142,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-10.ndjson,137,137,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-11.ndjson,116,116,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-12.ndjson,191,191,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-13.ndjson,203,203,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-14.ndjson,124,124,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-15.ndjson,102,102,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-16.ndjson,186,186,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-17.ndjson,179,179,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-18.ndjson,148,148,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-19.ndjson,192,192,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-20.ndjson,135,135,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-21.ndjson,105,105,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-22.ndjson,158,158,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-23.ndjson,105,105,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-24.ndjson,142,142,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-25.ndjson,162,162,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-26.ndjson,121,121,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-27.ndjson,172,172,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-28.ndjson,119,119,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-29.ndjson,86,86,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-30.ndjson,100,100,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-01-31.ndjson,185,185,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-01.ndjson,173,173,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-02.ndjson,143,143,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-03.ndjson,171,171,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-04.ndjson,151,151,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-05.ndjson,174,174,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-06.ndjson,190,190,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-07.ndjson,157,157,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-08.ndjson,190,190,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-09.ndjson,125,125,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-10.ndjson,191,191,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-11.ndjson,162,162,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-12.ndjson,147,147,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-13.ndjson,164,164,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-14.ndjson,224,224,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-15.ndjson,126,126,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-16.ndjson,173,173,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-17.ndjson,136,136,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-18.ndjson,142,142,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-19.ndjson,118,118,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-20.ndjson,178,178,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-21.ndjson,252,252,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-22.ndjson,289,289,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-23.ndjson,102,102,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-24.ndjson,200,200,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-25.ndjson,163,163,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-26.ndjson,122,122,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-27.ndjson,231,231,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2023-02-28.ndjson,185,185,0,0,0
